kind	old	new
backlog	00001	001-backlog
backlog	00010-existing	010-existing
backlog	00019	019-backlog
backlog	00020-idempotent	020-idempotent
backlog	00042	042-backlog
backlog	00050	050-backlog
backlog	00053	053-backlog
backlog	00059	059-backlog
backlog	00063	063-backlog
backlog	00099	099-backlog
	00099-new-row	099-new-row
feature	001	001-feature
feature	002	002-feature
	00200-end-to-end	200-end-to-end
backlog	00777	777-backlog
feature	1-a	001-a
feature	1-alpha	001-alpha
feature	1-b	001-b
bug	1-bug-a	001-bug-a
feature	1-c	001-c
feature	1-collide	001-collide
bug	1-defensive-bug	001-defensive-bug
bug	1-foo	001-foo
feature	1-only	001-only
backlog	11-bypass	011-bypass
backlog	12345	12345-backlog
bug	2-bar	002-bar
feature	2-beta	002-beta
task	2-defensive-task	002-defensive-task
task	2-task-a	002-task-a
bug	3-baz	003-baz
bug	3-keep-open	003-keep-open
bug	4-defensive	004-defensive
bug	4-replay	004-replay
bug	5-conflict	005-conflict
bug	6-foreign	006-foreign
bug	7-manual	007-manual
bug	8-event	008-event
bug	9-orphan	009-orphan
project	P001	001-p001
project	P004-entity-db-redesign	001-p004-entity-db-redesign
project	P01-demo	001-p01-demo
project	P02-widget	001-p02-widget
project	P03-nosource	001-p03-nosource
project	P04-nokeys	001-p04-nokeys
project	P06-nocreated	001-p06-nocreated
project	P1	001-p1
feature	a	002-a
project	a	002-a
feature	a1	001-a1
feature	a1x	001-a1x
feature	a2	001-a2
feature	aband-feat	001-aband-feat
feature	aband-nolcp	001-aband-nolcp
feature	active-blocker	001-active-blocker
feature	active-finish	001-active-finish
feature	active-nolcp	001-active-nolcp
feature	af-001	001-af-001
feature	all-fields	001-all-fields
feature	and-a-backlog	001-and-a-backlog
feature	and-a-wip	001-and-a-wip
feature	and-b-wip	001-and-b-wip
feature	another-good	001-another-good
brainstorm	archived-bs	20260101-000001-archived-bs
feature	atomicity-001	001-atomicity-001
feature	b	002-b
backlog	b1	001-b1
brainstorm	b1	001-b1
feature	b1	001-b1
feature	b2	001-b2
feature	b3	001-b3
invalid_type	bad	001-bad
feature	bad-bh	001-bad-bh
feature	bad-enum	001-bad-enum
feature	bad-json	001-bad-json
feature	bad-meta	001-bad-meta
feature	bad-mode	001-bad-mode
feature	bad-phase	001-bad-phase
feature	bad-timing-val	001-bad-timing-val
feature	bad-ts	001-bad-ts
brainstorm	bar	20260101-000002-bar
feature	batch-001	001-batch-001
feature	batch-002	001-batch-002
backlog	batch-003	001-batch-003
feature	bf-a	001-bf-a
feature	bf-dup	001-bf-dup
feature	bf-dup2	001-bf-dup2
feature	bf-test	001-bf-test
feature	bf-w	001-bf-w
feature	bf-y	001-bf-y
feature	bf-z	001-bf-z
feature	bi-rollback	001-bi-rollback
feature	bi-test	001-bi-test
feature	big-meta	001-big-meta
backlog	bl-legacy	001-bl-legacy
backlog	bl-new	001-bl-new
backlog	bl-parent	001-bl-parent
backlog	bl-test	001-bl-test
backlog	bl-u1	001-bl-u1
feature	blk	001-blk
feature	blocked	001-blocked
feature	blocker	001-blocker
	blocker-x	001-blocker-x
backlog	blocker-x	001-blocker-x
brainstorm	blocker-x	001-blocker-x
bug	blocker-x	001-blocker-x
feature	blocker-x	001-blocker-x
task	blocker-x	001-blocker-x
feature	blocker1	001-blocker1
feature	both-ids	001-both-ids
feature	branch-test	001-branch-test
feature	branch-test2	001-branch-test2
brainstorm	bs-done-parent	20260101-000003-bs-done-parent
brainstorm	bs-legacy	20260101-000004-bs-legacy
brainstorm	bs-lonely	20260101-000005-bs-lonely
brainstorm	bs-managed	20260101-000006-bs-managed
brainstorm	bs-mixed	20260101-000007-bs-mixed
brainstorm	bs-multi-done	20260101-000008-bs-multi-done
